name,ticker,industry
Translate Bio,TBIO,Medical - Drug Manufacturing
Triumph Bancorp,TBK,Banks - Southeast
ToughBuilt Industries,TBLT,Building & Construction Products - Misc.
Territorial Bancorp,TBNK,Banks - Northeast
Theravance Biopharma,TBPH,Medical - Drug Manufacturing
TuanChe,TC,Internet Commerce
Tuatara Capital Acquisition,TCAC,UNCLASSIFIED
Texas Capital Bancshares,TCBI,Banks - Southwest
TriCo Bancshares,TCBK,Banks - West
Tricida,TCDA,Medical - Drug Manufacturing
TCF Financial,TCF,Banks - Northeast
Community Financial,TCFC,Banks - Northeast
Transcontinental Realty Investors,TCI,Real Estate Development
Tactile Systems Technology,TCMD,Medical Instruments Manufacturing
Trip Group,TCOM,Leisure & Recreation Services
TRACON Pharmaceuticals,TCON,Medical - Biomedical and Genetics
BLACKROCK TCP CAPITAL CORP,TCPC,Finance - SBIC & Commercial
TCR2 Therapeutics,TCRR,Medical - Drug Manufacturing
Container Store,TCS,Consumer Products - Misc. Discretionary
Tucows,TCX,Internet Content
Toronto Dominion Bank,TD,Banks - Foreign
Trident Acquisitions,TDAC,Unclassified
Teradata,TDC,Computer Storage Devices
Transdigm Group,TDG,Aerospace and Defense Equipment
Teladoc Health,TDOC,Medical Services
Telephone And Data Systems,TDS,Wireline - National Providers
ThredUp,TDUP,Consumer Products - Misc. Discretionary
Tidewater,TDW,Oil & Gas - US Integrated
Teledyne Technologies,TDY,Aerospace and Defense Equipment
Atlassian,TEAM,Internet Software
Bio-Techne Corp,TECH,Medical - Biomedical and Genetics
Teck Resources,TECK,Mining - Miscellaneous
Tarena,TEDU,Staffing Services
Telefonica SA,TEF,Diversified Communication Services
Tekkorp Digital Acquisition,TEKK,Unclassified
TE Connectivity,TEL,Miscelleneous Electrical Components
TELA Bio,TELA,Medical - Biomedical and Genetics
Magellan Petroleum,TELL,Oil Refining & Marketing
Tenneco,TEN,Auto & Truck Original Equipment Manufacturers
Tenable Holdings,TENB,Internet Software
Tenax Therapeutics,TENX,Medical - Biomedical and Genetics
Telecom Argentina Stet - France Telecom S.A,TEO,Wireline - Non US Providers
Teradyne,TER,Electrical Test Equipment
Terns Pharmaceuticals,TERN,Medical - Biomedical and Genetics
TESSCO Technologies,TESS,Communication Components Manufacturers
Teva Pharmaceutical Industries,TEVA,Medical - Generic Drugs
Terex,TEX,Construction and Mining Machinery
Truist Financial,TFC,Banks - Major Regional
TFF Pharmaceuticals,TFFP,Medical - Biomedical and Genetics
TFI,TFII,Transportation - Services
TFS Financial,TFSL,Finance - Savings & Loans
Teleflex,TFX,Medical Instruments Manufacturing
Tredegar,TG,Chemicals - Plastics
Transglobe Energy Corp,TGA,Oil & Gas - Canadian Exploration & Production
Taseko Mines,TGB,Mining - Miscellaneous
Textainers,TGH,Transportation - Equipment & Leasing
Triumph,TGI,Aerospace and Defense Equipment
Tecnoglass,TGLS,Building Products - Retail & Wholesale
TEGNA,TGNA,Broadcasting - Radio & TV
Teekay LNG Partners,TGP,Transportation - Shipping
Transportadora De Gas Sa Ord B,TGS,Oil & Gas - Production and Pipelines
Target,TGT,Retail - Discount & Variety
TG Therapeutics,TGTX,Medical Products Manufacturing
Target Hospitality,TH,Leisure & Recreation Services
Thunder Bridge Acquisition II,THBR,Unclassified
Tenet Healthcare,THC,Medical - Hospitals
Tuscan Holdings II,THCA,Unclassified
Tuscan Holdings,THCB,Auto & Truck Original Equipment Manufacturers
First Financial Indiana,THFF,Banks - Midwest
Hanover Insurance,THG,"Property, Casualty and Title Insurance"
International Tower Hill Mines,THM,Gold Miners
Thimble Point Acquisition,THMA,Unclassified
ThermoGenesis Holdings,THMO,Medical - Biomedical and Genetics
Thor Industries,THO,Building - Mobile Home & RV Manufacturing
Thermons,THR,Control Instruments Manufacturing
Gentherm Inc,THRM,Auto & Truck Original Equipment Manufacturers
Thryv Holdings,THRY,Internet Software
TreeHouse Foods,THS,Food Items - Miscellaneous/Diversified
Theratechnologies,THTX,Medical - Biomedical and Genetics
Trean Insurance,TIG,Multi-Line Insurance Providers
Millicom Cellular SA,TIGO,Wireless - Non-US Providers
UP Fintech Holding,TIGR,Finance - Investment Banks
Instil Bio,TIL,Medical - Biomedical and Genetics
Interface,TILE,Textile - Home Furnishings
TIM Participacoes S.A,TIMB,Wireless - Non-US Providers
Tiga Acquisition,TINV,Unclassified
Tiptree Financial,TIPT,Insurance Brokers
Tian Ruixiang Holdings,TIRX,Multi-Line Insurance Providers
Team,TISI,Building - Maintenance and Services
Titan Machinery,TITN,Retail and Wholesale Auto & Truck
TELUS (CDA),TIXT,Technology Services
TJX,TJX,Retail - Discount & Variety
